UNIQ_ID,PARENT,FCODE,USG_GROUP,USG_CODE,USG_SP_NAM,USG_SP_NM_,USG_PRIORI,BLDG_ID,CMPLX_ID,CMLX_FCD,E_ORD,N_ORD,DATA_YEAR,PRDCT_VER
"53961037","0","223","20","5521",בית כנסת - שלום כהן,,"1","53016726","0","0",178260.94532699999,664203.48009400000,"0",
"53961275","0","223","20","5521",בית כנסת - שלום שבזי,Shalom Shabbazi Synagogue,"1","52251817","0","0",196337.36012699999,666485.71359399997,"0",
"54013267","0","223","20","5521",בית כנסת - התחיה,,"1","52310499","0","0",182411.44492700000,665428.96559399995,"0",
"53961280","0","223","20","5521","בית כנסת - ביל""ו",,"1","52206078","0","0",189294.19092699999,660184.56309399998,"0",
"53961287","0","223","20","5525",כנסיה - קופטית,,"1","52230083","0","0",176889.83422700001,661792.29439399997,"0",
"53959325","0","223","20","5525",כנסיה - בפטיסטית,,"1","52689848","0","0",220357.26192700001,631859.23889399995,"0",
"53958185","0","223","20","5521",בית כנסת - משכן יוסף,Mishkan Yosef Synagogue,"1","52483622","0","0",182522.29122700001,643956.04989400005,"0",
"53958187","0","223","20","5521",בית כנסת - בן איש חי,,"1","52718865","0","0",176470.18762700001,641843.31349400000,"0",
"53958437","0","223","20","5521",בית כנסת,Synagogue,"1","52569087","0","0",203433.15912699999,646348.37659400003,"0",
"53958438","0","223","20","5521",בית כנסת - אהל מנחם,,"1","53169626","54449283","251",201351.79912700001,646249.35749400000,"0",
"53960373","0","223","20","5525",כנסית - יוחנן המטביל,,"1","52962514","0","0",221843.56072700000,631595.30589399999,"0",
"53960374","0","223","20","5521",בית כנסת - תפארת אבות,Tif'eret Avot Synagogue,"1","52282540","0","0",182023.07392699999,663231.56049399998,"0",
"53960387","0","223","20","5521",בית כנסת - עזרא הסופר,Ezra HaSofer Synagogue,"1","52488823","0","0",214137.16812700001,633299.51589399995,"0",
"53960389","0","223","20","5500",מרכז תורני באר לאברהם,,"1","53324864","0","0",218293.59142700001,633251.12489400001,"0",
"54013065","0","223","20","5501",מקווה,Mikve (Ritual Bath),"1","52225866","0","0",188274.82082699999,663063.57769399998,"0",
"53961745","0","223","20","5521",בית כנסת - שערי רחמים,Sha'are Rahamim Synagogue,"1","52505541","0","0",182794.44302700000,651160.81729399995,"0",
"53961754","0","223","20","5521",בית כנסת - שערי רחמים,Sha'are Rahamim Synagogue,"1","52187211","0","0",196317.89622699999,662067.25749400002,"0",
"53961361","0","223","20","5521",בית כנסת,Synagogue,"1","52691402","0","0",220340.46652700001,632790.48329400003,"0",
"54013288","0","223","20","5521",בית כנסת - נגבה,,"1","52419299","0","0",181064.01622699999,662429.25129399996,"0",
"53961363","0","223","20","5501",מקווה - רמת עמידר,,"1","52186474","0","0",184504.51502699999,663640.31219400000,"0",
"54013289","0","223","20","5521",בית כנסת,Synagogue,"1","52404529","0","0",221384.93102700001,632664.39059400000,"0",
"53958441","0","223","20","5521",בית כנסת - שומרי אמונים,Shomre Emunim Synagogue,"1","52489204","0","0",183272.25452700001,643601.61159400002,"0",
"53958449","0","223","20","5521",בית כנסת - אור התפילה,,"1","53298243","0","0",188746.60502700001,665767.57039400004,"2017",2018-04
"53958454","0","223","20","5521",בית כנסת - שערי שלום,,"1","52486478","0","0",189358.28892699999,650217.12219400005,"0",
"53959852","0","223","20","5521",בית כנסת - הליכות עם ישראל,,"1","52389248","0","0",186901.05182699999,663540.44939400000,"0",
"53959858","0","223","20","5521",בית כנסת - שמרונים,,"1","52574554","0","0",180846.60162700000,657775.50249400001,"0",
"54012943","0","223","20","5501",בית חסידים ייתר אברהם,Bet Hasidim Yeter Avraham,"1","52477927","0","0",191814.76502699999,664156.88279399998,"0",
"53960417","0","223","20","5525",כנסיה - דיר טנטורה,,"1","52449552","0","0",219302.06692700001,626296.78229400003,"0",
"53959330","0","223","20","5521",בית כנסת,Synagogue,"1","52656029","0","0",218638.70502699999,632701.56229399994,"0",
"53961856","0","223","20","5521",בית כנסת - ישורון,,"1","52389032","0","0",196033.76302700001,666567.90159400005,"0",
"54013401","0","223","20","5521",בית כנסת,Synagogue,"1","52474640","0","0",183687.50382700001,656611.57229399995,"2014",2015-07
"53961871","0","223","20","5521",בית כנסת - בית פרץ,,"1","52567018","0","0",184914.17012699999,664204.85799399996,"0",
"53961872","0","223","20","5521",בית כנסת - שמחת משה,,"1","52474457","0","0",194671.24542699999,656543.66609399999,"0",
