id,lat,long,from,to,raw_text
1775,32.6933333,35.3036111,2020-03-12 9:00:00,2020-03-12 14:00:00,חנות גליתא - דודג' סנטר - נוף הגליל
1776,32.05602,34.88259,2020-03-12 9:30:00,2020-03-12 9:45:00,מקווה בסביון ברח' הדרים
1777,32.0685326,34.7761506,2020-03-12 9:30:00,2020-03-12 10:00:00,"מינימרקט ""שורצקי"", רח' שינקין 54, תל אביב"
1778,32.0864001,34.8301802,2020-03-12 9:30:00,2020-03-12 9:50:00,משביר לעמו - בני ברק
1779,31.7545463,35.2200407,2020-03-12 9:45:00,2020-03-12 10:00:00,סופר- דיל דרך בת לחם - ירושלים
1780,31.9669506,34.84077625,2020-03-12 10:00:00,2020-03-12 11:30:00,קניון בית החולים שמיר
1781,32.1854841,34.8544072,2020-03-12 10:00:00,2020-03-12 11:15:00,"סופרמרקט ""ויקטורי"" רח' ירושלים 34 רעננה"
1782,32.1861476,34.8545996,2020-03-12 10:00:00,2020-03-12 11:15:00,"סופרמרקט ״ויקטורי״ רח׳ ירושלים 34, רעננה"
1783,32.1060032,34.9413999,2020-03-12 10:00:00,2020-03-12 12:00:00,"קייטרינג רוזמרין רחוב העבודה 7, ראש העין"
1784,32.4407789,34.8949244,2020-03-12 10:00:00,2020-03-12 11:00:00,יוחננוף מול הים - חדרה
1785,33.000985,35.0969043,2020-03-12 10:30:00,2020-03-12 11:00:00,"שופרסל רח' לוחמי הגטאות 36, נהריה"
1786,31.8986272,35.015185,2020-03-12 10:30:00,2020-03-12 10:50:00,ספריה מרכזית מודיעין
1787,31.8988459,35.0148796,2020-03-12 10:30:00,2020-03-12 11:00:00," רח' עמק דותן 49 מרכז רב- תחומי, מודיעין"
1788,31.7540687,35.2132365,2020-03-12 10:30:00,2020-03-12 10:45:00,"חנות ""הפיראט האדום"" תלפיות מתחת לקניון הדר - ירושלים"
1789,32.0716067,34.8290158,2020-03-12 10:45:00,2020-03-12 11:00:00,שופרסל שלי מרכז מרום נווה - רמת גן
1790,31.8992523,35.0147152,2020-03-12 10:50:00,2020-03-12 11:00:00,עמק דותן 49 מודיעין
1791,31.9004192,35.008295,2020-03-12 11:00:00,2020-03-12 11:30:00,בית הרופאים רח' ערער 9 מודיעין
1792,33.004319,35.0982285,2020-03-12 11:00:00,2020-03-12 11:15:00,"קשת טעמים רח' לוחמי הגטאות 9, נהריה"
1793,31.8893826,34.9625248,2020-03-12 11:00:00,2020-03-12 11:30:00,"חנות מחשבים ""אייבורי"" ישפרו מודיעין"
1794,31.8898011,34.9628105,2020-03-12 11:00:00,2020-03-12 11:30:00,"חנות """"אייבורי"""", """"ישפרו סנטר"""", רח' המלאכות, מודיעין."
1795,31.8893826,34.9625248,2020-03-12 11:00:00,2020-03-12 11:30:00,"""אייבורי"", ""ישפרו סנטר"", רח' המלאכות, מודיעין."
1796,31.7818868,35.1615608,2020-03-12 11:00:00,2020-03-12 13:00:00,"בית קפה דרך הגפן, מושב בית זית 24"
